Masjid Name,Fajr,Dhuhr,Asr,Maghrib,Isha,Jum'aa,Ladies Arrangement
"Masjid-e-Rahmania, Ganesh Peth",5:30,1:15,4:15,Common time,8:30,1:20,Yes
"Masjid-al Gafoor, Basha Peth",5:30,12:45,4:00,Common time,8:15,1:05,No
"Masjid-e-Muhammadiya, Begum Peth",5:20,1:00,4:15,Common time,8:15,1:00,No
"Masjid-e-Chawadi, Lashkar",5:25,1:00,4:15,Common time,8:30,1:15,No
"Masjid-e-Pindhari, Lodhi Galli",5:20,1:00,4:15,Common time,8:00,1:15,Yes
Masjid-e-Qila,5:20,1:00,4:15,Common time,8:15,1:15,Yes
"Masjid-e-Salafiya, Jainuddin Chawl, Ramlal Chouk",5:23,1:00,4:00,Common time,8:00,12:55,Yes
"Masjit-e-Muhammadiya, Forest",5:30,1:15,4:15,Common time,8:00,1:15,Yes
"Masjid-e-Noorani, Ramwadi",5:25,1:00,4:15,Common time,8:15,1:15,Yes
"Masjid-e-Asariya, 2 No.",5:15,1:00,4:15,Common time,8:15,1:20,Yes
"Masjid-e-Muhammadiya, Mashal Wasti",5:15,1:15,4:15,Common time,8:15,1:30,No
"Masjid-e-Muhammadiya, Madani Nagar, Bijapur Road",5:25,1:00,4:00,Common time,8:15,1:15,No
"Masjid-e-Daru'salam, Ghongde Wasti",5:25,1:15,4:30,Common time,8:15,1:15,Yes
"Masjid-e-Munawwara, Momin Nagar, Mulegaon Road",5:30,1:15,4:30,Common time,8:15,1:15,Yes
"Masjid-e-Nurool Iman, Juna Bidi Gharakul, Behind Market Yard",5:25,1:15,4:15,Common time,8:15,1:05,Yes
"Masjid-e-Moti Mahal, Nai Zindagi",5:25,1:00,4:15,Common time,8:15,1:20,No
"Masjid-e-Tauhid, Nai Zindagi Chowk",5:25,1:00,4:15,Common time,8:00,1:20,Yes
"Masjid-e-Umar Khalifa, Sumaiyya Nagar, Nai Zindagi",5:20,1:00,4:15,Common time,8:45,1:20,Yes
"Masjid Al-kausar, Sahil Nagar, Nai Zindagi",5:25,12:45,4:15,Common time,8:15,1:15,Yes
"Masjid-e-Salam (Bihari), Multani Bakery, Nai Zindagi",5:30,1:30,4:30,Common time,8:45,1:30,Yes
"Masjid-e-Abu Dawood, Shanti Nagar, Nai Zindagi",5:30,1:15,4:15,Common time,8:15,1:15,Yes
"Masjid-e-Imam Bukhari, Swagat Nagar",5:15,1:15,4:15,Common time,8:15,1:20,Yes
"Masjid-e-Salafiya Campus, Kumbhari Road",5:10,1:00,4:00,Common time,8:15,1:00,Yes
